Plot,Group,Type,Cluster,No. Translocated,Decrease in Abundance** - April 2023,Decrease in Abundance** - July 2023,Change April - July?,% Lost,Soil Moisture,,,,,Soil pH,,,,,Lux,Soil Compaction,,Soil Type,Rhod. Prox.,Woodland Community
D10,D,Plant,9,130,37,67,Down,51.53846154,53.8,48.4,56.9,55.4,53.6,6.17,6.15,6.27,6.01,6.15,894,24,0.97799511,,0,
D15,D,Plant,8,87,0,0,None,0,71.8,62.6,62.6,43.4,60.1,5.63,6.07,6.41,6.26,6.09,1103,71,2.893235534,,50,
,,TOTAL,,2988,,,,,,,,,,,,,,,,,,,,
NW5,NW,Seed,2,1700,1615,1700,Down,100,57,54.4,46.3,51.7,52.4,5.83,6.15,6.14,6.03,6.04,627,56,2.28198859,,50,
NW10,NW,Seed,4,1700,1250,1340,Down,78.82352941,84,82.8,84,84,83.7,7.09,5.47,5.31,5.19,5.77,903,47,1.915240424,,39,
NW11,NW,Seed,4,1700,1450,1460,Down,85.88235294,84,84,80.6,82.6,82.8,5.34,6.03,5.71,5.66,5.69,1071,55,2.241238794,,21,
D1S,D,Seed,7,1700,895,1360,Down,80,64,63.7,64.4,62.3,63.6,5.65,5.23,5.25,5.62,5.44,1911,37,1.507742461,,50,
D2,D,Seed,7,1700,1648,1695,Down,99.70588235,71.9,56.9,63.1,38.9,57.7,5.27,5.47,5.29,6.04,5.52,1155,24,0.97799511,,50,
D5S,D,Seed,7,1700,1560,1598,Down,94,28.6,62.5,45.6,44.1,45.2,6.86,5.86,6.03,6.18,6.23,251,37,1.507742461,,50,
D6S,D,Seed,8,1700,1070,1180,Down,69.41176471,52.7,39.4,52,51.9,49,6.1,6.51,6.29,6.32,6.31,830,30,1.222493888,,50,
D7S,D,Seed,9,1700,1560,1668,Down,98.11764706,36.9,71.3,68.5,71.6,62.1,6.43,5.94,6.41,6.01,6.2,698,32,1.30399348,,1,
D8S,D,Seed,9,1700,1300,1584,Down,93.17647059,55.8,65.3,49.6,44.1,53.7,5.86,5.78,6.09,5.92,5.91,2230,29,1.181744091,,1,
D9S,D,Seed,9,1700,1460,1578,Down,92.82352941,53.9,51.3,48.9,43.4,49.4,6.37,5.93,6.08,6.27,6.16,1199,23,0.937245314,,0,
D10S,D,Seed,9,1700,1635,1573,Up,92.52941176,53.8,48.4,56.9,55.4,53.6,6.17,6.15,6.27,6.01,6.15,894,24,0.97799511,,0,
,,TOTAL,,18700,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
*Use woodland community (and soil type) to assign cluster,,,,,,,,,,,,,,,,,,,,,,,,
**Measure of plant numbers???,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,,,
